country_css_class,country,national_language,population,flag_image_url,compliance_requirement_for_telecom_radio,regulatory_authority,mandatory_requirements_telecom_radio_safety_emc,in_country_test,language_requirements_application_manual_report,local_representation_required_for_approval,country_specific_labelling,approval_validity,factory_inspection,other_requirements,radio_telecom_certificate_example_url,radio_telecom_mark_artwork_url,emc_certification_and_test_report_required_for_it_products,emission_and_immunity,safety_certification_required_for_it_products,safety_test_report_requirement,rohs_certification_required_for_it_products,rohs_requirements,sample_required_in_country,language_requirements_user_manual_product_safety_markings,local_representative_applicant_required,mandatory_factory_inspection_requirement,remarks,safety_emc_certificate_example_url,safety_emc_mark_artwork_url,energy_efficiency_requirements,energy_efficiency_certificate_example_url,energy_efficiency_mark_artwork_url
thailand,THAILAND,Thai,69.8 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/th.png,Yes,R: National Bureau of Telecommunications Commission (NBTC),TelecomRadioEMCSafety,No,English / Thai,Yes,Yes (Depending on device type),Life of product,No,,,,No,No,Yes,Yes,No,No,Yes,English is OK,"Yes, must be real importer","Yes, by TISI",Do not deliver sample before application is handled,,,Yes,,
turkey,TURKEY,Turkish,84.3 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/tr.png,Yes,Telekomunikas yon Kurumu,TelecomRadioSafetyEMC,No,No,Local company to hold the TCF,Yes,Life of product,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,,,,,,Yes (10 substances),,,,,,,,Yes,,
uae,UAE,Arabic,9.9 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ae.png,Yes,Telecommunications and Digital Government Regulatory Authority (TDRA),TelecomRadioEMCSafety,Yes (Depending on device type),No,Yes,Yes,3 years,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,No,No,No,No,Yes,Yes (10 substances),No,Not applicable,Not applicable,Not applicable,GSO is only for HOUS equipment,,,Unknown,,
uganda,UGANDA,Swahili/English,45.7 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ug.png,Yes,Uganda Communications Commission,Telecom Radio,No,English or French,No,None,Life of product,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
ukraine,UKRAINE,Ukrainian,44.1 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ua.png,Yes,National Commission for Communications Regulation of Ukraine,TelecomRadioSafetyEMC,Yes,Manual in Ukrainian/Russian,No,Yes,1 year or 3 years,For 3 years validity,,,,"Yes, certification or/ and declaration",E and I,Yes,"Yes, CB scheme only (IEC 62368-1)","Yes, Ukrainian RoHS",Yes (10 substances),No,"Yes, in Ukrainian and Russian","Yes, for equipment containing radio",Nemko factory inspection report is accepted (CIG 023),Aligning with EU directives,,,Yes,,
united-kingdom,UNITED KINGDOM,English,67 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/gb.png,Yes,UK Parliament,"RadioSafetyEMC(Self-declaration allowed if Effective Use of Spectrum Designated Standard is used and listed, otherwise, UK Type Exam Cert.)",Life of product(product must comply with Designated Standard listed in UK list during placement of unit on market),Short-form DoC and warnings in all languages,Yes - In Country representative must sign the DoC,Yes,Life of product (product must comply with Designated Standard listed in UK list during placement of unit on market),No (unless Full Quality Assurance method used),,,,,,,,,Yes (10 substances),,,,,,,,Yes,,
usa,USA,English,330 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/um.png,Yes,R – FCC (Certification) T – ACTA (Registration) E - SDoC,TelecomRadioSafetyEMC,No,No,No,Yes,Life of product,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,SDoC or Certification (Emissions),E,"Yes, from NRTL","Yes, from NRTL",State regulations,Yes (State regulations),No,English,Yes for EMC SDoC,"Yes, for safety",Other requirements for radio might apply.,,,Yes,,
venezuela,VENEZUELA,Spanish,28.4 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ve.png,Yes,Comision Nacional de Telecomunicaciones (CONATEL),Telecom Radio,No,T – Manual in Spanish if it connects to PSTN,Yes,None,Life of product,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
vietnam,VIETNAM,Vietnamese,97.3 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/vn.png,Yes,Ministry of Information and Communications (MIC),TelecomRadioEMCSafety,"No, Reports accepted from accredited MRA labs",English,No,Yes,3 years,ISO 9001,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,"Yes, for HOUS and LITE","Yes, for HOUS and LITE","Yes, for HOUS and LITE","Yes, for HOUS and LITE",No,Yes (6 substances),Yes,English is OK,Yes,"Yes, for safety approval (HOUS&LITE)",,,,Yes,,
zambia,ZAMBIA,English,18.3 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/zm.png,Yes,Zambia Information and Communications Technology Authority (ZICTA),Telecom Radio,No,English,No,Yes,Life of product,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
